type,date,business,cost,category,year,monthno
Sale,9/5/2017,PRICE CHOPPER #148,6.99,GroceryStore,2017,9
Sale,9/5/2017,PRICE CHOPPER #148,7.5,GroceryStore,2017,9
Sale,9/6/2017,HOT POWER YOGA CENTER,90,Exercise,2017,9
Sale,9/6/2017,DUNKIN #342612 Q35,2.56,Coffee,2017,9
Sale,9/7/2017,Amazon.com,36.53,Other,2017,9
Sale,9/8/2017,DUNKIN #342612 Q35,4.89,Coffee,2017,9
Sale,9/9/2017,SQ *INHOUSE COFFEE,5.01,Coffee,2017,9
Sale,9/10/2017,GULF OIL 92040038,12,GasOrCar,2017,9
Sale,9/10/2017,#07624 SHAW'S,65.29,GroceryStore,2017,9
Sale,9/10/2017,UBER   *ADJ LTSUV,150,ShoppingOrEntertainment,2017,9
Sale,9/10/2017,UBER   *TRIP LTSUV,8.8,ShoppingOrEntertainment,2017,9
Sale,9/11/2017,APL* ITUNES.COM/BILL,0.99,ShoppingOrEntertainment,2017,9
Sale,9/11/2017,BRUEGGERS #778,1.86,Restaurants,2017,9
Sale,9/11/2017,THE ALLEN DANIEL ASSOC,117.3,Other,2017,9
Return,9/11/2017,BROWN AND ROBERTS,-5.82,ShoppingOrEntertainment,2017,9
Sale,9/12/2017,GMP BILL PAYMENT,26.1,UtilitiesOrInsurance,2017,9
Sale,9/12/2017,BRUEGGERS #778,1.86,Restaurants,2017,9
Sale,9/12/2017,BRUEGGERS #778,1.86,Restaurants,2017,9
Sale,9/13/2017,DUNKIN #342612 Q35,2.77,Coffee,2017,9
Sale,9/14/2017,SQ *INHOUSE COFFEE,3.09,Coffee,2017,9
Sale,9/14/2017,SAFECO INSURANCE CO,57.88,UtilitiesOrInsurance,2017,9
Sale,9/14/2017,Amazon.com,7.69,Other,2017,9
Sale,9/15/2017,CHARTER COMM,108.18,UtilitiesOrInsurance,2017,9
Sale,9/15/2017,BEAN COUNTER COFFEE BAR &amp;,7.08,Coffee,2017,9
Sale,9/16/2017,SQ *INHOUSE COFFEE,5.54,Coffee,2017,9
Sale,9/16/2017,NH LIQUOR STORE #22,13.99,Restaurants,2017,9
Sale,9/16/2017,TARGET        00013482,34.94,ShoppingOrEntertainment,2017,9
Sale,9/17/2017,SQ *WOOBERRY - WORCESTER,3.93,Restaurants,2017,9
Sale,9/18/2017,BRATTLEBORO FOOD COOP,9.37,GroceryStore,2017,9
Sale,9/18/2017,SHELL OIL 57546079401,20.29,GasOrCar,2017,9
Sale,9/18/2017,DUNKIN #304874 Q35,2.92,Coffee,2017,9
