key,date,value
BTC,9/22/2017,1194830000
BTC,9/21/2017,1411480000
BTC,9/20/2017,1213830000
BTC,9/19/2017,1563980000
BTC,9/18/2017,1943210000
BTC,9/17/2017,1239150000
BTC,9/16/2017,1818400000
BTC,9/15/2017,4148070000
BTC,9/14/2017,2716310000
BTC,9/13/2017,2219410000
BTC,9/12/2017,1864530000
BTC,9/11/2017,1557330000
BTC,9/10/2017,1679090000
BTC,9/9/2017,1386230000
BTC,9/8/2017,2700890000
BTC,9/7/2017,1844620000
BTC,9/6/2017,2172100000
BTC,9/5/2017,2697970000
BTC,9/4/2017,2987330000
BTC,9/3/2017,1933190000
BTC,9/2/2017,2722140000
BTC,9/1/2017,2599080000
BTC,8/31/2017,1944930000
BTC,8/30/2017,1937850000
BTC,8/29/2017,2486080000
BTC,8/28/2017,1959330000
BTC,8/27/2017,1537460000
BTC,8/26/2017,1511610000
BTC,8/25/2017,1727970000
BTC,8/24/2017,2037750000
BTC,8/23/2017,2369820000
BTC,8/22/2017,3764240000
BTC,8/21/2017,2800890000
BTC,8/20/2017,2109770000
BTC,8/19/2017,2975820000
BTC,8/18/2017,2941710000
BTC,8/17/2017,2553360000
BTC,8/16/2017,2272040000
BTC,8/15/2017,3258050000
BTC,8/14/2017,2463090000
BTC,8/13/2017,3159090000
BTC,8/12/2017,2219590000
BTC,8/11/2017,2021190000
BTC,8/10/2017,1515110000
BTC,8/9/2017,1468960000
BTC,8/8/2017,1752760000
BTC,8/7/2017,1482280000
BTC,8/6/2017,1105030000
BTC,8/5/2017,1945700000
BTC,8/4/2017,1002120000
BTC,8/3/2017,804797000
BTC,8/2/2017,1094950000
BTC,8/1/2017,1324670000
BTC,7/31/2017,860575000
BTC,7/30/2017,705943000
BTC,7/29/2017,803746000
BTC,7/28/2017,1380100000
BTC,7/27/2017,789104000
BTC,7/26/2017,937404000
BTC,7/25/2017,1460090000
BTC,7/24/2017,866474000
BTC,7/23/2017,1072840000
BTC,7/22/2017,1177130000
BTC,7/21/2017,1489450000
BTC,7/20/2017,2249260000
BTC,7/19/2017,1245100000
BTC,7/18/2017,1512450000
BTC,7/17/2017,1201760000
BTC,7/16/2017,1182870000
BTC,7/15/2017,993608000
BTC,7/14/2017,882503000
BTC,7/13/2017,835770000
BTC,7/12/2017,1117410000
BTC,7/11/2017,1329760000
BTC,7/10/2017,1111200000
BTC,7/9/2017,527856000
BTC,7/8/2017,733330000
BTC,7/7/2017,917412000
BTC,7/6/2017,761957000
BTC,7/5/2017,941566000
BTC,7/4/2017,985516000
BTC,7/3/2017,964112000
BTC,7/2/2017,803747000
BTC,7/1/2017,779914000
BTC,6/30/2017,860273000
BTC,6/29/2017,949979000
BTC,6/28/2017,1183870000
BTC,6/27/2017,1489790000
BTC,6/26/2017,1663280000
BTC,6/25/2017,1161100000
BTC,6/24/2017,982750000
BTC,6/23/2017,961319000
BTC,6/22/2017,1097940000
BTC,6/21/2017,1626580000
BTC,6/20/2017,1854190000
BTC,6/19/2017,1446840000
BTC,6/18/2017,1178660000
BTC,6/17/2017,1534510000
BTC,6/16/2017,1195190000
BTC,6/15/2017,2026260000
BTC,6/14/2017,1696560000
BTC,6/13/2017,1781200000
BTC,6/12/2017,2569530000
BTC,6/11/2017,1752400000
BTC,6/10/2017,2018890000
BTC,6/9/2017,1348950000
BTC,6/8/2017,1281170000
BTC,6/7/2017,1517710000
BTC,6/6/2017,2089610000
BTC,6/5/2017,1369310000
BTC,6/4/2017,1355120000
BTC,6/3/2017,1514950000
BTC,6/2/2017,1317030000
BTC,6/1/2017,1653180000
BTC,5/31/2017,1544830000
BTC,5/30/2017,1443970000
BTC,5/29/2017,994625000
BTC,5/28/2017,1147140000
BTC,5/27/2017,1700480000
BTC,5/26/2017,1763480000
BTC,5/25/2017,2406700000
BTC,5/24/2017,1725380000
BTC,5/23/2017,1378750000
BTC,5/22/2017,1942220000
BTC,5/21/2017,1147860000
BTC,5/20/2017,961336000
BTC,5/19/2017,1157290000
BTC,5/18/2017,894321000
BTC,5/17/2017,1064730000
BTC,5/16/2017,959045000
BTC,5/15/2017,731529000
BTC,5/14/2017,437196000
BTC,5/13/2017,579635000
BTC,5/12/2017,740984000
BTC,5/11/2017,799490000
BTC,5/10/2017,915723000
BTC,5/9/2017,1167920000
BTC,5/8/2017,1340320000
BTC,5/7/2017,1080030000
BTC,5/6/2017,582530000
BTC,5/5/2017,946036000
BTC,5/4/2017,933549000
BTC,5/3/2017,583796000
BTC,5/2/2017,477338000
BTC,5/1/2017,713624000
BTC,4/30/2017,413115000
BTC,4/29/2017,422706000
BTC,4/28/2017,527489000
BTC,4/27/2017,449197000
BTC,4/26/2017,329631000
BTC,4/25/2017,242556000
BTC,4/24/2017,235806000
BTC,4/23/2017,258951000
BTC,4/22/2017,249320000
BTC,4/21/2017,272167000
BTC,4/20/2017,315108000
BTC,4/19/2017,288061000
BTC,4/18/2017,270524000
BTC,4/17/2017,253206000
BTC,4/16/2017,183231000
BTC,4/15/2017,203559000
