key,date,value
BTC,9/22/2017,11948.3
BTC,9/21/2017,14114.8
BTC,9/20/2017,12138.3
BTC,9/19/2017,15639.8
BTC,9/18/2017,19432.1
BTC,9/17/2017,12391.5
BTC,9/16/2017,18184
BTC,9/15/2017,41480.7
BTC,9/14/2017,27163.1
BTC,9/13/2017,22194.1
BTC,9/12/2017,18645.3
BTC,9/11/2017,15573.3
BTC,9/10/2017,16790.9
BTC,9/9/2017,13862.3
BTC,9/8/2017,27008.9
BTC,9/7/2017,18446.2
BTC,9/6/2017,21721
BTC,9/5/2017,26979.7
BTC,9/4/2017,29873.3
BTC,9/3/2017,19331.9
BTC,9/2/2017,27221.4
BTC,9/1/2017,25990.8
BTC,8/31/2017,19449.3
BTC,8/30/2017,19378.5
BTC,8/29/2017,24860.8
BTC,8/28/2017,19593.3
BTC,8/27/2017,15374.6
BTC,8/26/2017,15116.1
BTC,8/25/2017,17279.7
BTC,8/24/2017,20377.5
BTC,8/23/2017,23698.2
BTC,8/22/2017,37642.4
BTC,8/21/2017,28008.9
BTC,8/20/2017,21097.7
BTC,8/19/2017,29758.2
BTC,8/18/2017,29417.1
BTC,8/17/2017,25533.6
BTC,8/16/2017,22720.4
BTC,8/15/2017,32580.5
BTC,8/14/2017,24630.9
BTC,8/13/2017,31590.9
BTC,8/12/2017,22195.9
BTC,8/11/2017,20211.9
BTC,8/10/2017,15151.1
BTC,8/9/2017,14689.6
BTC,8/8/2017,17527.6
BTC,8/7/2017,14822.8
BTC,8/6/2017,11050.3
BTC,8/5/2017,19457
BTC,8/4/2017,10021.2
BTC,8/3/2017,8047.97
BTC,8/2/2017,10949.5
BTC,8/1/2017,13246.7
BTC,7/31/2017,8605.75
BTC,7/30/2017,7059.43
BTC,7/29/2017,8037.46
BTC,7/28/2017,13801
BTC,7/27/2017,7891.04
BTC,7/26/2017,9374.04
BTC,7/25/2017,14600.9
BTC,7/24/2017,8664.74
BTC,7/23/2017,10728.4
BTC,7/22/2017,11771.3
BTC,7/21/2017,14894.5
BTC,7/20/2017,22492.6
BTC,7/19/2017,12451
BTC,7/18/2017,15124.5
BTC,7/17/2017,12017.6
BTC,7/16/2017,11828.7
BTC,7/15/2017,9936.08
BTC,7/14/2017,8825.03
BTC,7/13/2017,8357.7
BTC,7/12/2017,11174.1
BTC,7/11/2017,13297.6
BTC,7/10/2017,11112
BTC,7/9/2017,5278.56
BTC,7/8/2017,7333.3
BTC,7/7/2017,9174.12
BTC,7/6/2017,7619.57
BTC,7/5/2017,9415.66
BTC,7/4/2017,9855.16
BTC,7/3/2017,9641.12
BTC,7/2/2017,8037.47
BTC,7/1/2017,7799.14
BTC,6/30/2017,8602.73
BTC,6/29/2017,9499.79
BTC,6/28/2017,11838.7
BTC,6/27/2017,14897.9
BTC,6/26/2017,16632.8
BTC,6/25/2017,11611
BTC,6/24/2017,9827.5
BTC,6/23/2017,9613.19
BTC,6/22/2017,10979.4
BTC,6/21/2017,16265.8
BTC,6/20/2017,18541.9
BTC,6/19/2017,14468.4
BTC,6/18/2017,11786.6
BTC,6/17/2017,15345.1
BTC,6/16/2017,11951.9
BTC,6/15/2017,20262.6
BTC,6/14/2017,16965.6
BTC,6/13/2017,17812
BTC,6/12/2017,25695.3
BTC,6/11/2017,17524
